company,job,link,experience,opening_date,closing_date
BLUESTEPS,Senior Executive / Executive ? Transport & Logistics (Construction Industrial Solutions) (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=10&ac=0000000417&jc=0000791551&ec=0000000550&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')","Minimum of 3 years? experience in logistics/transport management, preferably related to 
construction industry;  ", Wed Nov 18 2020, Thu Dec 03 2020
BLUESTEPS,Finance Manager (with corporate taxation experience) (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=13&ac=0000000417&jc=0000791381&ec=0000000550&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')","Fully qualified in CA Sri Lanka/ CIMA / ACCA or equivalent professional Finance and
Accounting qualification;  ", Wed Nov 18 2020, Wed Dec 02 2020
Orel IT (Pvt) Ltd,Associate Image Processor ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=14&ac=DEFZZZ&jc=0000791292&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Tue Nov 17 2020, Tue Dec 01 2020
InfoMate (Pvt) Ltd,Finance Apprentice (5),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=15&ac=0000000049&jc=0000789066&ec=0000000503&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Infomate is a John Keells Group company. Please refer the advertisement for more information. , Wed Nov 04 2020, Mon Nov 30 2020
World Vision Lanka,Temporary Sponsorship Assistant (Mundalama) ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=13&ac=DEFZZZ&jc=0000792718&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Wed Nov 25 2020, Wed Dec 09 2020
Career141,Chief Executive Officer (CEO) - College Campus  ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=67&ac=DEFZZZ&jc=0000790906&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Mon Nov 30 2020
Eureka Technology Partners (Pvt) Ltd,Digital Marketing Strategist (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=68&ac=0000000134&jc=0000790421&ec=0000000151&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer advertisement , Fri Nov 27 2020, Thu Dec 10 2020
Filotex Lanka (Pvt) Ltd,Technician (Electrical / Air Conditioning) ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=59&ac=DEFZZZ&jc=0000792628&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Tue Nov 24 2020, Tue Dec 08 2020
WNS Global Services (Pvt) Ltd,Senior Associate - F&A - General Ledger Accounting - Srilanka (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=76&ac=0000000205&jc=0000792703&ec=0000000245&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",This Senior Accounts Associate is responsible for financial reporting and controls during the month-end period to ensure the accuracy and the timeliness of .... , Tue Nov 24 2020, Thu Dec 24 2020
Persistent Systems Lanka (Pvt) Ltd,ARCHITECT - MICROSERVICE DEVELOPMENT (JAVA) (5),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=73&ac=0000000244&jc=0000793531&ec=0000000297&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Mon Nov 30 2020
MAS Brands,Executive Graphic Designer  (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=74&ac=0000000094&jc=0000793514&ec=0000000596&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",We are on the look out for a dynamic and an energetic individual join the E-Commerce  team as an Executive Graphic Designer. This role requires to conceptu .... , Fri Nov 27 2020, Fri Dec 04 2020
Data Management Systems (Pvt) Ltd,Software Engineers (2),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=75&ac=0000000223&jc=0000793493&ec=0000000266&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please Refer The Advertisement , Fri Nov 27 2020, Thu Dec 31 2020
Swivel Group,Senior QA Engineer (Automation) ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=76&ac=DEFZZZ&jc=0000793454&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
Star Garments (Pvt) Ltd,CAD Artist Textile Print Designing  ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=56&ac=DEFZZZ&jc=0000791462&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Wed Nov 18 2020, Wed Dec 02 2020
Beehive Solutions (Pvt) Ltd,Operations Executives - Export/Import (Sea & Air Freight) ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=11&ac=DEFZZZ&jc=0000791404&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Wed Nov 18 2020, Wed Dec 02 2020
Global Market Technologies (Pvt) Limited,Project Support Analyst (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=16&ac=0000000118&jc=0000788323&ec=0000000135&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Oct 29 2020, Mon Nov 30 2020
InfoMate (Pvt) Ltd,Data Entry Analyst (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=17&ac=0000000049&jc=0000788318&ec=0000000503&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Infomate is a John Keells Group company. Please register in our career site on https://careers.keells.com/InfoMate/ , Thu Oct 29 2020, Mon Nov 30 2020
Search for Common Ground ,Monitoring and Evaluation Officer - Lessons Learnt Document ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=14&ac=DEFZZZ&jc=0000792514&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Tue Nov 24 2020, Tue Dec 08 2020
Delmege Recruitment Services,Sales Executives - Technical & Machinery  (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=69&ac=0000000015&jc=0000789138&ec=0000000515&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Refer the Job Ad , Fri Nov 27 2020, Fri Dec 04 2020
Eureka Technology Partners (Pvt) Ltd,Digital Marketing Associate (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=70&ac=0000000134&jc=0000788815&ec=0000000151&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer advertisement , Fri Nov 27 2020, Tue Dec 01 2020
Hayleys Group,Business Development Assistant - Solar ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=71&ac=0000000377&jc=0000784880&ec=0000000495&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Join the World of Hayleys. , Fri Nov 27 2020, Mon Dec 07 2020
Smart Quest (Pvt)Ltd,Head of Marketing (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=72&ac=0000000013&jc=0000793229&ec=0000000013&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 26 2020, Thu Dec 31 2020
Morgan HR,Study and work in the UK (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=60&ac=0000000368&jc=0000792589&ec=0000000483&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')","- Up to 50% Scholarships 
- Post Study Work Visa of 2 years 
- Please refer  the  attachment for details
 ", Tue Nov 24 2020, Tue Dec 01 2020
Saffron Holdings (Pvt) Ltd,Engineer / Technician ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=61&ac=DEFZZZ&jc=0000792580&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Tue Nov 24 2020, Tue Dec 08 2020
Continental AG,Financial Controller ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=77&ac=DEFZZZ&jc=0000792655&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')","Minimum of 10 years experience in Finance Controlling with fully qualified. Possess strong analytical, problem solving and organizational skill. ", Tue Nov 24 2020, Tue Dec 08 2020
Panaceata (Pvt) Ltd ,Software Engineer  ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=77&ac=DEFZZZ&jc=0000793450&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
T&FG Group of Companies,Pattern Maker - Lingerie (Wathupitiwala) (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=57&ac=0000000053&jc=0000791405&ec=0000000057&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement  , Wed Nov 18 2020, Fri Dec 18 2020
Company Name Withheld,Import and Export Executive ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=12&ac=DEFZZZ&jc=0000791275&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Tue Nov 17 2020, Tue Dec 01 2020
Save the Children International,District Health Manager  ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=15&ac=DEFZZZ&jc=0000792383&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')","Mullaitivu, Badulla, Nuwara Eliya, Ratnapura ", Mon Nov 23 2020, Wed Dec 02 2020
Save the Children International,"Monitoring, Evaluation, Accountability and Learning (Meal) Officer ","JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=16&ac=DEFZZZ&jc=0000792378&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 23 2020, Wed Dec 02 2020
Save the Children International,District Education Coordinator - Nuwara Eliya ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=17&ac=DEFZZZ&jc=0000792374&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 23 2020, Wed Dec 02 2020
Save the Children International,District Education Manager (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=18&ac=DEFZZZ&jc=0000792372&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 23 2020, Wed Dec 02 2020
Company Name Withheld,Chartered Accountant - Female ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=19&ac=DEFZZZ&jc=0000792334&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",qualified Chartered Accountant with minimum 05 years of work experience. , Mon Nov 23 2020, Mon Dec 07 2020
NativeWay (Pvt) Ltd,Business Development Executive (Diesel Power Generator) - Colombo & Down South ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=73&ac=DEFZZZ&jc=0000793204&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 26 2020, Thu Dec 10 2020
Eminence Recruitment (Pvt) Ltd,Assistant Engineer (Technical) / Assistant Sales Engineer / Technical Sales Executives  ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=62&ac=DEFZZZ&jc=0000792503&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Tue Nov 24 2020, Tue Dec 08 2020
M. M. Noorbhoy & Co (Pvt) Ltd,Accountant - Finance & Tax ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=78&ac=DEFZZZ&jc=0000792651&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Tue Nov 24 2020, Tue Dec 08 2020
Softlogic Holdings PLC,Senior Executive - Accounts (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=79&ac=0000000062&jc=0000792646&ec=0000000068&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Tue Nov 24 2020, Mon Nov 30 2020
Royal Fernwood Porcelain Limited,Executive - ERP ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=78&ac=DEFZZZ&jc=0000793436&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
Brandix Fast Fashion,Intern - Procurement (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=58&ac=0000000041&jc=0000791386&ec=0000000082&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement. , Wed Nov 18 2020, Thu Dec 17 2020
Neelan Tiruchelvam Trust,Programme Assistant ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=20&ac=DEFZZZ&jc=0000791722&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 19 2020, Tue Dec 01 2020
Softlogic Holdings PLC,Brand Manager  (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=74&ac=0000000062&jc=0000793197&ec=0000000068&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement  , Thu Nov 26 2020, Wed Dec 02 2020
Edinborough Products [Pvt] Ltd,Electrical Technician (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=63&ac=0000000386&jc=0000792398&ec=0000000507&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 23 2020, Mon Dec 07 2020
Softlogic Holdings PLC,Junior Accounts Executive (2),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=80&ac=0000000062&jc=0000792643&ec=0000000068&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Tue Nov 24 2020, Mon Nov 30 2020
International Trimmings & Labels Lanka (Private) Limited,Trainee Software Developer ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=79&ac=DEFZZZ&jc=0000793428&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
Texlan Center (Pvt) Ltd,Officer Merchandising ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=59&ac=DEFZZZ&jc=0000791383&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Wed Nov 18 2020, Wed Dec 02 2020
Neelan Tiruchelvam Trust,Manager - Programmes & Grants ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=21&ac=DEFZZZ&jc=0000791721&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 19 2020, Tue Dec 01 2020
Lanka Hospitals Corporation PLC,Senior Executive-Business Development (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=75&ac=0000000440&jc=0000793184&ec=0000000582&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 26 2020, Thu Dec 03 2020
Avinda Auto Engineering (Pvt) Ltd,Automotive Diagnostic Technician / Service Technician and Mechanic / Workshop Foreman ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=64&ac=DEFZZZ&jc=0000792368&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 23 2020, Mon Dec 07 2020
ABC Group of Companies,Accounts Executive ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=81&ac=DEFZZZ&jc=0000792624&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Manage all accounting operations based on accounting principles. Ability to handle petty cash and banking activities. , Tue Nov 24 2020, Tue Dec 08 2020
International Trimmings & Labels Lanka (Private) Limited,Graphic Designer ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=80&ac=DEFZZZ&jc=0000793424&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
Jay Jay Mills Lanka (Pvt) Ltd,Polybag Manufacturing Unite In Charge / Label Printing Executive/In Charge (Ethiopia) ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=60&ac=DEFZZZ&jc=0000791350&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Wed Nov 18 2020, Wed Dec 02 2020
Neelan Tiruchelvam Trust,Programme Officer ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=22&ac=DEFZZZ&jc=0000791720&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 19 2020, Tue Dec 01 2020
Three Sinha Industries (Pvt) Ltd,Sales Coordinator - Male & Female ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=76&ac=DEFZZZ&jc=0000793179&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 26 2020, Thu Dec 10 2020
Debug Group of Companies,A/C Technician (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=65&ac=0000000262&jc=0000792363&ec=0000000338&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 23 2020, Thu Dec 31 2020
Tradarea (Pvt) Ltd,Accounts Executive ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=82&ac=DEFZZZ&jc=0000792610&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Minimum 3 years of experience in an Audit firm / Minimum part qualification in one of the bodies AAT / ICASL / ACCA / CIMA / ABE / CMA , Tue Nov 24 2020, Tue Dec 08 2020
SPIL Labs (Pvt) Ltd,Software Engineer ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=81&ac=DEFZZZ&jc=0000793418&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
Jay Jay Mills Lanka (Pvt) Ltd,Sewing Machine Mechanics / Boiler Operators ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=61&ac=DEFZZZ&jc=0000791349&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Wed Nov 18 2020, Wed Dec 02 2020
Chrysalis,Consultant  - Conflict and Political Analysis ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=23&ac=DEFZZZ&jc=0000791701&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 19 2020, Thu Dec 03 2020
Chrysalis,Consultant - Capacity Building Training Programmes on Solid Waste Management and Peacebuilding ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=24&ac=DEFZZZ&jc=0000791698&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 19 2020, Thu Dec 03 2020
Three Sinha Industries (Pvt) Ltd,Sales Executive - Kandy ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=77&ac=DEFZZZ&jc=0000793178&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 26 2020, Thu Dec 10 2020
Camso Loadstar,ENGINEERING MECHANIC - ELECTRICAL (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=66&ac=0000000160&jc=0000792345&ec=0000000192&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 23 2020, Mon Nov 30 2020
Saffron Holdings (Pvt) Ltd,Financial Manager / Accounts Executive ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=83&ac=DEFZZZ&jc=0000792584&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",All positions require at least 1 year experience in similar capacity or industry. , Tue Nov 24 2020, Tue Dec 08 2020
Morgan HR,Study and work in the UK (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=84&ac=0000000368&jc=0000792574&ec=0000000483&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')","- Up to 50% Scholarships 
- Post Study Work Visa of 2 years 
- Please refer  the  attachment for details
 ", Tue Nov 24 2020, Tue Dec 01 2020
SPIL Labs (Pvt) Ltd,Software Engineer - Backend ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=82&ac=DEFZZZ&jc=0000793416&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
Brandix Fast Fashion,Intern - Procurement (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=62&ac=0000000041&jc=0000791199&ec=0000000082&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement. , Wed Nov 18 2020, Wed Dec 16 2020
Islamic Relief Sri Lanka,Livelihood Coordinator/Assistant / Program Officer / Program Assistant ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=25&ac=DEFZZZ&jc=0000791691&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 19 2020, Thu Dec 03 2020
Three Sinha Industries (Pvt) Ltd,Sales Executive - Matara ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=78&ac=DEFZZZ&jc=0000793174&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Thu Nov 26 2020, Thu Dec 10 2020
Vonlan Constructions (Pvt) Ltd,Engineer / Assistant Engineer  / Technical Officer ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=67&ac=DEFZZZ&jc=0000792344&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 23 2020, Mon Dec 07 2020
Associated Motorways (Private) Limited,Assistant Accountant - Treasury  (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=85&ac=0000000391&jc=0000792569&ec=0000000514&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please Refer the Job Advertisement , Tue Nov 24 2020, Thu Dec 24 2020
