model,year,milage,engine,transmission,drive,steer,price
1990 Toyota Toyoace Truck BU66D Dump 2Tonne,1990,"171,000km","3,660 cc",MT,2WD,Right,"US$4,581"
1989 Toyota Dyna Truck BU66 2Tonne,1989,"174,000km","3,700 cc",MT,2WD,Right,"US$4,651"
1992 Toyota Dyna Truck BU66ｶｲ 2D MODIFIED 1.6Tonne,1992,"145,000km","3,700 cc",MT,2WD,Right,"US$4,656"
1994 Mazda Titan WGM4H 3Tonne,1994,"117,000km","4,600 cc",MT,2WD,Right,"US$4,713"
1998 Hino RANGER BU112T Dump 2Tonne,1998,"246,000km","4,100 cc",MT,2WD,Right,"US$4,718"
1989 Mitsubishi Canter FE435E 3Tonne,1989,"178,000km","3,600 cc",MT,2WD,Right,"US$4,815"
1990 Toyota Dyna Truck BU66 Gila 2Tonne,1990,"241,000km","3,660 cc",MT,2WD,Right,"US$4,816"
1995 Hino RANGER FD3WDAD DUMP 4Tonne,1995,"139,000km","6,000 cc",MT,2WD,Right,"US$4,905"
1993 Mazda Titan WGM4H 3Tonne,1993,"229,000km","4,600 cc",MT,2WD,Right,"US$4,982"
2003 Mitsubishi Canter FE82CE 2Tonne,2003,"346,000km","4,200 cc",MT,2WD,Right,"US$5,031"
2003 Toyota Dyna Truck GB-RZU100,2003,"75,386km","2,700 cc",MT,2WD,Right,"US$5,038"
1989 Daihatsu Delta Truck V98 2Tonne,1989,"122,000km","3,000 cc",MT,2WD,Right,"US$5,040"
2002 Mitsubishi Canter FE53EEX 3.5Tonne,2002,"296,000km","5,200 cc",MT,2WD,Right,"US$5,099"
1995 Toyota Dyna Truck BU102 2Tonne,1995,"261,000km","4,100 cc",MT,2WD,Right,"US$5,138"
1999 Toyota Hilux LN167 0.5Tonne,1999,"208,000km","3,000 cc",MT,4WD,Right,"US$5,163"
1987 Nissan Condor CM87GS 4Tonne,1987,"318,449km","6,920 cc",MT,2WD,Right,"US$5,202"
1987 Mitsubishi Canter FE444E 2D 3.5Tonne,1987,"200,000km","3,300 cc",MT,2WD,Right,"US$5,207"
1989 Mitsubishi Fuso Fighter FK417JK 3.25Tonne,1989,"201,000km","7,540 cc",MT,2WD,Right,"US$11,597"
2010 Toyota Dyna Truck BJG-XKU508,2010,"238,605km","4,000 cc",MT,2WD,Right,"US$11,714"
1996 Mitsubishi Fuso Fighter FM619F 7.5Tonne,1996,"31,000km","8,200 cc",MT,2WD,Right,"US$11,926"
1995 Mitsubishi Fuso Fighter FK617H 4Tonne,1995,"302,000km","7,540 cc",MT,2WD,Right,"US$12,192"
1995 Mitsubishi Fuso Fighter FM618Lｶｲ 6.5Tonne,1995,"385,000km","8,200 cc",MT,2WD,Right,"US$12,305"
1991 Mitsubishi Fuso Great FV416R 8.75Tonne,1991,"607,000km","16,750 cc",MT,2WD,Right,SOLDOUT
1994 Mitsubishi Fuso Fighter Mignon FK337CD Dump 3.75Tonne,1994,"291,000km","7,540 cc",MT,2WD,Right,"US$12,414"
1993 Mitsubishi Fuso Fighter FK617J 4Tonne,1993,"577,000km","7,540 cc",MT,2WD,Right,"US$12,588"
1995 Mitsubishi Fuso Fighter Mignon FK337GK 4Tonne,1995,"264,000km","7,540 cc",MT,2WD,Right,"US$12,866"
1992 Mitsubishi Fuso Fighter FK617J 4Tonne,1992,"434,000km","7,540 cc",MT,2WD,Right,"US$13,018"
1996 Mitsubishi Fuso Fighter FK617K 4Tonne,1996,"471,000km","7,540 cc",MT,2WD,Right,"US$13,277"
1997 Mitsubishi Fuso Fighter FH227CD 3.7Tonne,1997,"197,000km","7,500 cc",MT,2WD,Right,"US$13,403"
1988 Mitsubishi Fuso Fighter FK417J 3Tonne,1988,"191,000km","7,540 cc",MT,2WD,Right,"US$13,469"
2000 Hino DUTRO BU306Y,2000,"248,216km","3,700 cc",MT,2WD,Right,SOLDOUT
1992 Mitsubishi Fuso Fighter FK617G 4Tonne,1992,"44,000km","7,540 cc",MT,2WD,Right,"US$13,817"
1994 Mitsubishi Fuso Fighter FK618KZ 4Tonne,1994,"258,912km","8,200 cc",MT,2WD,Right,"US$14,257"
2002 Mitsubishi Canter FE51CBD 2Tonne,2002,"156,000km","4,200 cc",MT,2WD,Right,SOLDOUT
1993 Mitsubishi Fuso Super Great FT418Lｶｲ 11.9Tonne,1993,"817,000km","11,140 cc",MT,2WD,Right,"US$14,421"
1994 Mitsubishi Fuso Fighter FK617DD DUMP 2D 4Tonne,1994,"133,000km","7,600 cc",MT,2WD,Right,"US$14,990"
1995 Mitsubishi Great FS419TZ 12Tonne,1995,"702,000km","17,730 cc",MT,2WD,Right,"US$15,371"
1994 Toyota Dyna Truck BU66D Dump 2Tonne,1994,"99,000km","3,660 cc",MT,2WD,Right,"US$5,288"
1996 Mitsubishi Fuso Fighter Mignon FH217CD Dump 4t 4Tonne,1996,"21,000km","7,540 cc",MT,2WD,Right,"US$15,459"
1999 Mitsubishi Fuso Fighter FH228C 4Tonne,1999,"210,000km","8,200 cc",MT,2WD,Right,"US$15,708"
1997 Mitsubishi Fuso Fighter FK628G 4Tonne,1997,"528,000km","8,200 cc",MT,2WD,Right,"US$15,774"
1992 Mitsubishi Fuso Fighter FK337CD Dump 3.75Tonne,1992,"134,000km","7,540 cc",MT,2WD,Right,"US$15,775"
1993 Mazda Titan WGM4H 4Tonne,1993,"141,000km","4,600 cc",MT,2WD,Right,"US$5,361"
1993 Hino RANGER FC3WCADｶｲ 4Tonne,1993,"174,000km","6,010 cc",MT,2WD,Right,"US$5,480"
1989 Mitsubishi Fuso Fighter FK417K 4Tonne,1989,"297,000km","7,540 cc",MT,2WD,Right,"US$17,897"
1991 Mitsubishi Fuso Fighter FK417JK 2.5Tonne,1991,"15,000km","7,540 cc",MT,2WD,Right,"US$18,275"
1993 Mitsubishi Canter FE325E COMMON BODY 2D 2Tonne,1993,"99,000km","3,600 cc",MT,2WD,Right,"US$5,592"
1998 Toyota Dyna Truck BU212 P GATE 2D 2Tonne,1998,"205,000km","4,100 cc",MT,2WD,Right,"US$5,603"
1997 Mitsubishi Fuso Fighter FK628DD 3.55Tonne,1997,"169,000km","8,200 cc",MT,2WD,Right,"US$18,584"
2018 Toyota Hilux QDF-GUN125,2018,"11,022km","2,400 cc",AT,2WD,Right,"US$38,381"
1987 Mitsubishi Canter FE305BD Dump 2Tonne,1987,"138,000km","3,560 cc",MT,2WD,Right,"US$5,667"
1990 Hino RANGER FC3WDAAKAI 3.72Tonne,1990,"96,000km","6,010 cc",MT,2WD,Right,"US$5,716"
1990 Hino RANGER FC170AD 3.95Tonne,1990,"125,000km","6,720 cc",MT,2WD,Right,"US$5,571"
1999 Mitsubishi Canter FE51CBT,1999,"249,344km","4,210 cc",MT,2WD,Right,"US$4,109"
1993 Hino RANGER HV118D Dump 2Tonne,1993,"259,000km","3,660 cc",MT,2WD,Right,"US$5,736"
1994 Mitsubishi Canter FE648E 3.5Tonne,1994,"503,000km","4,600 cc",MT,2WD,Right,"US$5,799"
1988 Toyota Dyna Truck BU61 2Tonne,1988,"172,042km","3,000 cc",MT,2WD,Right,"US$4,304"
1987 Toyota Dyna Truck BU61 2Tonne,1987,"205,000km","3,000 cc",MT,2WD,Right,"US$4,599"
